"EmployeeKey","ParentEmployeeKey","EmployeeNationalIDAlternateKey","ParentEmployeeNationalIDAlternateKey","SalesTerritoryKey","FirstName","LastName","MiddleName","NameStyle","Title","HireDate","BirthDate","LoginID","EmailAddress","Phone","MaritalStatus","EmergencyContactName","EmergencyContactPhone","SalariedFlag","Gender","PayFrequency","BaseRate","VacationHours","SickLeaveHours","CurrentFlag","SalesPersonFlag","DepartmentName","StartDate","EndDate","Status","EmployeePhoto"
"11","3","695256908","","11","Gail","Erickson","A","False","Design Engineer","8/6/2007 12:00:00 AM","4/27/1952 12:00:00 AM","adventure-works\gail0","gail0@adventure-works.com","849-555-0139","M","Gail Erickson","849-555-0139","True","F","2","32.6923","5","22","True","False","Engineering","8/6/2007 12:00:00 AM","","Current","System.Byte[]"
"12","189","912265825","","11","Barry","Johnson","K","False","Production Technician - WC10","8/7/2007 12:00:00 AM","10/25/1955 12:00:00 AM","adventure-works\barry0","barry0@adventure-works.com","206-555-0180","S","Barry Johnson","206-555-0180","False","M","1","13.4500","88","64","True","False","Production","8/7/2007 12:00:00 AM","","Current","System.Byte[]"
"13","3","998320692","","11","Jossef","Goldberg","H","False","Design Engineer","8/24/2007 12:00:00 AM","10/9/1958 12:00:00 AM","adventure-works\jossef0","jossef0@adventure-works.com","122-555-0189","M","Jossef Goldberg","122-555-0189","True","M","2","32.6923","6","23","True","False","Engineering","8/24/2007 12:00:00 AM","","Current","System.Byte[]"
"14","112","245797967","","11","Terri","Duffy","Lee","False","Vice President of Engineering","8/31/2007 12:00:00 AM","3/1/1971 12:00:00 AM","adventure-works\terri0","terri0@adventure-works.com","819-555-0175","S","Terri Duffy","819-555-0175","True","F","2","63.4615","1","20","True","False","Engineering","8/31/2007 12:00:00 AM","","Current","System.Byte[]"
"15","189","844973625","","11","Sidney","Higa","M","False","Production Technician - WC10","9/2/2007 12:00:00 AM","3/30/1956 12:00:00 AM","adventure-works\sidney0","sidney0@adventure-works.com","424-555-0189","M","Sidney Higa","424-555-0189","False","M","1","13.4500","84","62","True","False","Production","9/2/2007 12:00:00 AM","","Current","System.Byte[]"
"16","23","233069302","","11","Taylor","Maxwell","R","False","Production Supervisor - WC50","9/8/2007 12:00:00 AM","10/31/1955 12:00:00 AM","adventure-works\taylor0","taylor0@adventure-works.com","508-555-0165","M","Taylor Maxwell","508-555-0165","False","M","2","25.0000","79","59","True","False","Production","9/8/2007 12:00:00 AM","","Current","System.Byte[]"
"17","189","132674823","","11","Jeffrey","Ford","L","False","Production Technician - WC10","9/20/2007 12:00:00 AM","2/9/1956 12:00:00 AM","adventure-works\jeffrey0","jeffrey0@adventure-works.com","984-555-0185","S","Jeffrey Ford","984-555-0185","False","M","1","13.4500","85","62","True","False","Production","9/20/2007 12:00:00 AM","","Current","System.Byte[]"
"18","23","446466105","","11","Jo","Brown","A","False","Production Supervisor - WC60","9/27/2007 12:00:00 AM","5/8/1956 12:00:00 AM","adventure-works\jo0","jo0@adventure-works.com","632-555-0129","S","Jo Brown","632-555-0129","False","F","2","25.0000","80","60","True","False","Production","9/27/2007 12:00:00 AM","","Current","System.Byte[]"
"19","189","565090917","","11","Doris","Hartwig","M","False","Production Technician - WC10","10/9/2007 12:00:00 AM","11/3/1955 12:00:00 AM","adventure-works\doris0","doris0@adventure-works.com","328-555-0150","M","Doris Hartwig","328-555-0150","False","F","1","13.4500","86","63","True","False","Production","10/9/2007 12:00:00 AM","","Current","System.Byte[]"
"20","23","494170342","","11","John","Campbell","T","False","Production Supervisor - WC60","10/16/2007 12:00:00 AM","3/7/1956 12:00:00 AM","adventure-works\john0","john0@adventure-works.com","435-555-0113","M","John Campbell","435-555-0113","False","M","2","25.0000","81","60","True","False","Production","10/16/2007 12:00:00 AM","","Current","System.Byte[]"
"21","189","9659517","","11","Diane","Glimp","R","False","Production Technician - WC10","10/27/2007 12:00:00 AM","10/28/1955 12:00:00 AM","adventure-works\diane0","diane0@adventure-works.com","202-555-0151","M","Diane Glimp","202-555-0151","False","F","1","13.4500","87","63","True","False","Production","10/27/2007 12:00:00 AM","","Current","System.Byte[]"
"22","177","443968955","","11","Steven","Selikoff","T","False","Production Technician - WC30","7/1/2008 12:00:00 AM","12/12/1976 12:00:00 AM","adventure-works\steven0","steven0@adventure-works.com","925-555-0114","M","Steven Selikoff","925-555-0114","False","M","1","9.5000","41","40","True","False","Production","7/1/2008 12:00:00 AM","","Current","System.Byte[]"
"23","112","277173473","","11","Peter","Krebs","J","False","Production Control Manager","7/1/2008 12:00:00 AM","6/3/1982 12:00:00 AM","adventure-works\peter0","peter0@adventure-works.com","913-555-0196","M","Peter Krebs","913-555-0196","True","M","2","24.5192","43","41","True","False","Production Control","7/1/2008 12:00:00 AM","","Current","System.Byte[]"
"24","201","835460180","","11","Stuart","Munson","V","False","Production Technician - WC45","7/2/2008 12:00:00 AM","4/13/1962 12:00:00 AM","adventure-works\stuart0","stuart0@adventure-works.com","413-555-0136","S","Stuart Munson","413-555-0136","False","M","1","10.0000","84","62","True","False","Production","7/2/2008 12:00:00 AM","","Current","System.Byte[]"
"25","201","687685941","","11","Greg","Alderson","F","False","Production Technician - WC45","7/2/2008 12:00:00 AM","11/15/1975 12:00:00 AM","adventure-works\greg0","greg0@adventure-works.com","332-555-0150","S","Greg Alderson","332-555-0150","False","M","1","10.0000","85","62","True","False","Production","7/2/2008 12:00:00 AM","","Current","System.Byte[]"
"26","188","498138869","","11","David","Johnson","N","False","Production Technician - WC30","7/2/2008 12:00:00 AM","6/2/1979 12:00:00 AM","adventure-works\david1","david1@adventure-works.com","166-555-0162","S","David Johnson","166-555-0162","False","M","1","9.5000","25","32","True","False","Production","7/2/2008 12:00:00 AM","","Current","System.Byte[]"
"27","23","360868122","","11","Zheng","Mu","W","False","Production Supervisor - WC10","7/3/2008 12:00:00 AM","5/26/1983 12:00:00 AM","adventure-works\zheng0","zheng0@adventure-works.com","113-555-0173","S","Zheng Mu","113-555-0173","False","M","2","25.0000","66","53","True","False","Production","7/3/2008 12:00:00 AM","","Current","System.Byte[]"
"28","111","964089218","","11","Ivo","Salmre","William","False","Production Technician - WC20","7/4/2008 12:00:00 AM","8/3/1981 12:00:00 AM","adventure-works\ivo0","ivo0@adventure-works.com","115-555-0179","M","Ivo Salmre","115-555-0179","False","M","1","14.0000","9","24","True","False","Production","7/4/2008 12:00:00 AM","","Current","System.Byte[]"
"29","89","384162788","","11","Paul","Komosinski","B","False","Production Technician - WC40","7/4/2008 12:00:00 AM","6/13/1980 12:00:00 AM","adventure-works\paul0","paul0@adventure-works.com","147-555-0160","S","Paul Komosinski","147-555-0160","False","M","1","15.0000","68","54","True","False","Production","7/4/2008 12:00:00 AM","","Current","System.Byte[]"
"30","154","749389530","","11","Ashvini","Sharma","R","False","Network Administrator","7/4/2008 12:00:00 AM","10/25/1976 12:00:00 AM","adventure-works\ashvini0","ashvini0@adventure-works.com","656-555-0119","S","Ashvini Sharma","656-555-0119","False","M","2","32.4519","70","55","True","False","Information Services","7/4/2008 12:00:00 AM","","Current","System.Byte[]"
"31","16","571658797","","11","Kendall","Keil","C","False","Production Technician - WC50","7/5/2008 12:00:00 AM","12/28/1985 12:00:00 AM","adventure-works\kendall0","kendall0@adventure-works.com","138-555-0128","M","Kendall Keil","138-555-0128","False","M","1","11.0000","11","25","True","False","Production","7/5/2008 12:00:00 AM","","Current","System.Byte[]"
"32","143","535145551","","11","Paula","Barreto de Mattos","M","False","Human Resources Manager","7/6/2008 12:00:00 AM","9/11/1975 12:00:00 AM","adventure-works\paula0","paula0@adventure-works.com","523-555-0175","M","Paula Barreto de Mattos","523-555-0175","True","F","2","27.1394","54","47","True","False","Human Resources","7/6/2008 12:00:00 AM","","Current","System.Byte[]"
"33","214","761597760","","11","Alejandro","McGuel","E","False","Production Technician - WC40","7/6/2008 12:00:00 AM","7/5/1988 12:00:00 AM","adventure-works\alejandro0","alejandro0@adventure-works.com","668-555-0130","S","Alejandro McGuel","668-555-0130","False","M","1","15.0000","52","46","True","False","Production","7/6/2008 12:00:00 AM","","Current","System.Byte[]"
"34","188","271438431","","11","Garrett","Young","R","False","Production Technician - WC30","7/7/2008 12:00:00 AM","3/25/1984 12:00:00 AM","adventure-works\garrett0","garrett0@adventure-works.com","609-555-0179","S","Garrett Young","609-555-0179","False","M","1","9.5000","34","37","True","False","Production","7/7/2008 12:00:00 AM","","Current","System.Byte[]"
"35","138","160739235","","11","Jian Shuo","Wang","","False","Production Technician - WC30","7/7/2008 12:00:00 AM","2/24/1983 12:00:00 AM","adventure-works\jianshuo0","jianshuo0@adventure-works.com","952-555-0178","S","Jian Shuo Wang","952-555-0178","False","M","1","9.5000","36","38","True","False","Production","7/7/2008 12:00:00 AM","","Current","System.Byte[]"
"36","87","586486572","","11","Susan","Eaton","W","False","Stocker","7/7/2008 12:00:00 AM","9/17/1977 12:00:00 AM","adventure-works\susan0","susan0@adventure-works.com","943-555-0196","S","Susan Eaton","943-555-0196","False","F","1","9.0000","97","68","True","False","Shipping and Receiving","7/7/2008 12:00:00 AM","","Current","System.Byte[]"
"37","87","337752649","","11","Vamsi","Kuppa","N","False","Shipping and Receiving Clerk","7/7/2008 12:00:00 AM","10/16/1976 12:00:00 AM","adventure-works\vamsi0","vamsi0@adventure-works.com","937-555-0137","M","Vamsi Kuppa","937-555-0137","False","M","2","9.5000","95","67","True","False","Shipping and Receiving","7/7/2008 12:00:00 AM","","Current","System.Byte[]"
"38","40","113695504","","11","Alice","Ciccu","O","False","Production Technician - WC50","7/7/2008 12:00:00 AM","8/26/1977 12:00:00 AM","adventure-works\alice0","alice0@adventure-works.com","333-555-0173","M","Alice Ciccu","333-555-0173","False","F","1","11.0000","95","67","True","False","Production","7/7/2008 12:00:00 AM","","Current","System.Byte[]"
"39","9","276751903","","11","Simon","Rapier","D","False","Production Technician - WC60","7/8/2008 12:00:00 AM","12/15/1989 12:00:00 AM","adventure-works\simon0","simon0@adventure-works.com","963-555-0134","S","Simon Rapier","963-555-0134","False","M","1","12.4500","38","39","True","False","Production","7/8/2008 12:00:00 AM","","Current","System.Byte[]"
"40","23","630184120","","11","Jinghao","Liu","K","False","Production Supervisor - WC50","7/8/2008 12:00:00 AM","9/5/1988 12:00:00 AM","adventure-works\jinghao0","jinghao0@adventure-works.com","794-555-0159","S","Jinghao Liu","794-555-0159","False","M","2","25.0000","77","58","True","False","Production","7/8/2008 12:00:00 AM","","Current","System.Byte[]"
"41","186","545337468","","11","Michael","Hines","T","False","Production Technician - WC20","7/9/2008 12:00:00 AM","12/15/1989 12:00:00 AM","adventure-works\michael0","michael0@adventure-works.com","218-555-0126","S","Michael Hines","218-555-0126","False","M","1","14.0000","20","30","True","False","Production","7/9/2008 12:00:00 AM","","Current","System.Byte[]"
"42","163","713403643","","11","Yvonne","McKay","S","False","Production Technician - WC45","7/9/2008 12:00:00 AM","11/13/1988 12:00:00 AM","adventure-works\yvonne0","yvonne0@adventure-works.com","286-555-0189","M","Yvonne McKay","286-555-0189","False","F","1","10.0000","79","59","True","False","Production","7/9/2008 12:00:00 AM","","Current","System.Byte[]"
"43","204","885055826","","11","Peng","Wu","J","False","Quality Assurance Supervisor","7/9/2008 12:00:00 AM","10/17/1975 12:00:00 AM","adventure-works\peng0","peng0@adventure-works.com","164-555-0164","M","Peng Wu","164-555-0164","True","M","2","21.6346","81","60","True","False","Quality Assurance","7/9/2008 12:00:00 AM","","Current","System.Byte[]"
"44","112","441044382","","11","Jean","Trenary","E","False","Information Services Manager","7/11/2008 12:00:00 AM","7/13/1975 12:00:00 AM","adventure-works\jean0","jean0@adventure-works.com","685-555-0120","S","Jean Trenary","685-555-0120","True","F","2","50.4808","65","52","True","False","Information Services","7/11/2008 12:00:00 AM","","Current","System.Byte[]"
"45","76","718299860","","11","Russell","Hunter","","False","Production Technician - WC50","7/12/2008 12:00:00 AM","6/25/1972 12:00:00 AM","adventure-works\russell0","russell0@adventure-works.com","786-555-0144","M","Russell Hunter","786-555-0144","False","M","1","11.0000","6","23","True","False","Production","7/12/2008 12:00:00 AM","","Current","System.Byte[]"
"46","23","685233686","","11","A. Scott","Wright","","False","Master Scheduler","7/12/2008 12:00:00 AM","4/17/1968 12:00:00 AM","adventure-works\ascott0","ascott0@adventure-works.com","992-555-0194","S","A. Scott Wright","992-555-0194","False","M","2","23.5577","44","42","True","False","Production Control","7/12/2008 12:00:00 AM","","Current","System.Byte[]"
"47","214","295971920","","11","Fred","Northup","T","False","Production Technician - WC40","7/12/2008 12:00:00 AM","1/23/1989 12:00:00 AM","adventure-works\fred0","fred0@adventure-works.com","818-555-0192","S","Fred Northup","818-555-0192","False","M","1","15.0000","47","43","True","False","Production","7/12/2008 12:00:00 AM","","Current","System.Byte[]"
"48","7","95958330","","11","Sariya","Harnpadoungsataya","E","False","Marketing Specialist","7/12/2008 12:00:00 AM","12/19/1986 12:00:00 AM","adventure-works\sariya0","sariya0@adventure-works.com","399-555-0176","S","Sariya Harnpadoungsataya","399-555-0176","False","M","2","14.4231","45","42","True","False","Marketing","7/12/2008 12:00:00 AM","","Current","System.Byte[]"
"49","32","332040978","","11","Willis","Johnson","T","False","Recruiter","7/13/2008 12:00:00 AM","2/15/1978 12:00:00 AM","adventure-works\willis0","willis0@adventure-works.com","778-555-0141","S","Willis Johnson","778-555-0141","False","M","2","18.2692","49","44","True","False","Human Resources","7/13/2008 12:00:00 AM","","Current","System.Byte[]"
"50","40","857651804","","11","Jun","Cao","T","False","Production Technician - WC50","7/14/2008 12:00:00 AM","2/3/1979 12:00:00 AM","adventure-works\jun0","jun0@adventure-works.com","299-555-0113","S","Jun Cao","299-555-0113","False","M","1","11.0000","90","65","True","False","Production","7/14/2008 12:00:00 AM","","Current","System.Byte[]"
"51","222","553069203","","11","Christian","Kleinerman","E","False","Maintenance Supervisor","7/14/2008 12:00:00 AM","8/18/1975 12:00:00 AM","adventure-works\christian0","christian0@adventure-works.com","846-555-0157","M","Christian Kleinerman","846-555-0157","True","M","2","20.4327","92","66","True","False","Facilities and Maintenance","7/14/2008 12:00:00 AM","","Current","System.Byte[]"
"52","188","351069889","","11","Susan","Metters","A","False","Production Technician - WC30","7/14/2008 12:00:00 AM","10/31/1982 12:00:00 AM","adventure-works\susan1","susan1@adventure-works.com","639-555-0164","S","Susan Metters","639-555-0164","False","F","1","9.5000","31","35","True","False","Production","7/14/2008 12:00:00 AM","","Current","System.Byte[]"
"53","23","370989364","","11","Reuben","D'sa","H","False","Production Supervisor - WC40","7/15/2008 12:00:00 AM","3/27/1987 12:00:00 AM","adventure-works\reuben0","reuben0@adventure-works.com","191-555-0112","M","Reuben D'sa","191-555-0112","False","M","2","25.0000","72","56","True","False","Production","7/15/2008 12:00:00 AM","","Current","System.Byte[]"
"54","126","275962311","","11","Kirk","Koenigsbauer","J","False","Production Technician - WC45","7/15/2008 12:00:00 AM","9/6/1984 12:00:00 AM","adventure-works\kirk0","kirk0@adventure-works.com","669-555-0150","S","Kirk Koenigsbauer","669-555-0150","False","M","1","10.0000","74","57","True","False","Production","7/15/2008 12:00:00 AM","","Current","System.Byte[]"
"55","20","36151748","","11","David","Ortiz","J","False","Production Technician - WC60","7/15/2008 12:00:00 AM","7/29/1984 12:00:00 AM","adventure-works\david2","david2@adventure-works.com","712-555-0119","M","David Ortiz","712-555-0119","False","M","1","12.4500","33","36","True","False","Production","7/15/2008 12:00:00 AM","","Current","System.Byte[]"
"56","92","540688287","","11","Tengiz","Kharatishvili","N","False","Control Specialist","7/16/2008 12:00:00 AM","11/26/1989 12:00:00 AM","adventure-works\tengiz0","tengiz0@adventure-works.com","910-555-0116","S","Tengiz Kharatishvili","910-555-0116","False","M","2","16.8269","76","58","True","False","Document Control","7/16/2008 12:00:00 AM","","Current","System.Byte[]"
"57","147","568596888","","11","Hanying","Feng","P","False","Production Technician - WC20","7/16/2008 12:00:00 AM","5/16/1974 12:00:00 AM","adventure-works\hanying0","hanying0@adventure-works.com","319-555-0139","S","Hanying Feng","319-555-0139","False","M","1","14.0000","15","27","True","False","Production","7/16/2008 12:00:00 AM","","Current","System.Byte[]"
"58","214","918737118","","11","Kevin","Liu","H","False","Production Technician - WC40","7/17/2008 12:00:00 AM","7/25/1985 12:00:00 AM","adventure-works\kevin1","kevin1@adventure-works.com","714-555-0138","S","Kevin Liu","714-555-0138","False","M","1","15.0000","58","49","True","False","Production","7/17/2008 12:00:00 AM","","Current","System.Byte[]"
"59","18","801758002","","11","Annik","Stahl","O","False","Production Technician - WC60","7/17/2008 12:00:00 AM","7/26/1976 12:00:00 AM","adventure-works\annik0","annik0@adventure-works.com","499-555-0125","M","Annik Stahl","499-555-0125","False","M","1","12.4500","17","28","True","False","Production","7/17/2008 12:00:00 AM","","Current","System.Byte[]"
"60","40","415823523","","11","Suroor","Fatima","R","False","Production Technician - WC50","7/17/2008 12:00:00 AM","9/25/1977 12:00:00 AM","adventure-works\suroor0","suroor0@adventure-works.com","932-555-0161","S","Suroor Fatima","932-555-0161","False","M","1","11.0000","93","66","True","False","Production","7/17/2008 12:00:00 AM","","Current","System.Byte[]"
"61","142","363923697","","11","Deborah","Poe","E","False","Accounts Receivable Specialist","7/18/2008 12:00:00 AM","10/5/1975 12:00:00 AM","adventure-works\deborah0","deborah0@adventure-works.com","602-555-0194","M","Deborah Poe","602-555-0194","False","F","2","19.0000","60","50","True","False","Finance","7/18/2008 12:00:00 AM","","Current","System.Byte[]"
"62","76","674171828","","11","Jim","Scardelis","H","False","Production Technician - WC50","7/19/2008 12:00:00 AM","4/8/1986 12:00:00 AM","adventure-works\jim0","jim0@adventure-works.com","679-555-0113","M","Jim Scardelis","679-555-0113","False","M","1","11.0000","1","20","True","False","Production","7/19/2008 12:00:00 AM","","Current","System.Byte[]"
"63","177","138280935","","11","Carole","Poland","M","False","Production Technician - WC30","7/19/2008 12:00:00 AM","5/19/1983 12:00:00 AM","adventure-works\carole0","carole0@adventure-works.com","688-555-0192","M","Carole Poland","688-555-0192","False","F","1","9.5000","42","41","True","False","Production","7/19/2008 12:00:00 AM","","Current","System.Byte[]"
"64","188","476115505","","11","George","Li","Z","False","Production Technician - WC30","7/21/2008 12:00:00 AM","11/14/1976 12:00:00 AM","adventure-works\george0","george0@adventure-works.com","518-555-0199","M","George Li","518-555-0199","False","M","1","9.5000","26","33","True","False","Production","7/21/2008 12:00:00 AM","","Current","System.Byte[]"
"65","89","502058701","","11","Gary","Yukish","W","False","Production Technician - WC40","7/22/2008 12:00:00 AM","12/15/1987 12:00:00 AM","adventure-works\gary0","gary0@adventure-works.com","901-555-0125","S","Gary Yukish","901-555-0125","False","M","1","15.0000","69","54","True","False","Production","7/22/2008 12:00:00 AM","","Current","System.Byte[]"
"66","23","7201901","","11","Cristian","Petculescu","K","False","Production Supervisor - WC10","7/22/2008 12:00:00 AM","11/10/1983 12:00:00 AM","adventure-works\cristian0","cristian0@adventure-works.com","434-555-0133","M","Cristian Petculescu","434-555-0133","False","M","2","25.0000","67","53","True","False","Production","7/22/2008 12:00:00 AM","","Current","System.Byte[]"
"67","147","97728960","","11","Raymond","Sam","K","False","Production Technician - WC20","7/23/2008 12:00:00 AM","9/30/1966 12:00:00 AM","adventure-works\raymond0","raymond0@adventure-works.com","226-555-0197","M","Raymond Sam","226-555-0197","False","M","1","14.0000","10","25","True","False","Production","7/23/2008 12:00:00 AM","","Current","System.Byte[]"
"68","44","525932996","","11","Janaina","Bueno","Barreiro Gambaro","False","Application Specialist","7/23/2008 12:00:00 AM","8/30/1984 12:00:00 AM","adventure-works\janaina0","janaina0@adventure-works.com","623-555-0155","M","Janaina Bueno","623-555-0155","True","F","2","27.4038","71","55","True","False","Information Services","7/23/2008 12:00:00 AM","","Current","System.Byte[]"
"69","16","843479922","","11","Bob","Hohman","N","False","Production Technician - WC50","7/24/2008 12:00:00 AM","3/16/1979 12:00:00 AM","adventure-works\bob0","bob0@adventure-works.com","611-555-0116","S","Bob Hohman","611-555-0116","False","M","1","11.0000","12","26","True","False","Production","7/24/2008 12:00:00 AM","","Current","System.Byte[]"
"70","214","370487086","","11","Shammi","Mohamed","G","False","Production Technician - WC40","7/24/2008 12:00:00 AM","5/4/1980 12:00:00 AM","adventure-works\shammi0","shammi0@adventure-works.com","793-555-0179","M","Shammi Mohamed","793-555-0179","False","M","1","15.0000","53","46","True","False","Production","7/24/2008 12:00:00 AM","","Current","System.Byte[]"
"71","40","54759846","","11","Linda","Moschell","K","False","Production Technician - WC50","7/25/2008 12:00:00 AM","2/14/1987 12:00:00 AM","adventure-works\linda0","linda0@adventure-works.com","612-555-0171","M","Linda Moschell","612-555-0171","False","F","1","11.0000","96","68","True","False","Production","7/25/2008 12:00:00 AM","","Current","System.Byte[]"
"72","32","619308550","","11","Mindy","Martin","C","False","Benefits Specialist","7/25/2008 12:00:00 AM","6/20/1984 12:00:00 AM","adventure-works\mindy0","mindy0@adventure-works.com","522-555-0147","M","Mindy Martin","522-555-0147","False","F","2","16.5865","51","45","True","False","Human Resources","7/25/2008 12:00:00 AM","","Current","System.Byte[]"
"73","143","121491555","","11","Wendy","Kahn","Beth","False","Finance Manager","7/25/2008 12:00:00 AM","5/11/1984 12:00:00 AM","adventure-works\wendy0","wendy0@adventure-works.com","248-555-0134","S","Wendy Kahn","248-555-0134","True","F","2","43.2692","55","47","True","False","Finance","7/25/2008 12:00:00 AM","","Current","System.Byte[]"
"74","87","420776180","","11","Kim","Ralls","T","False","Stocker","7/26/2008 12:00:00 AM","11/29/1983 12:00:00 AM","adventure-works\kim0","kim0@adventure-works.com","309-555-0129","S","Kim Ralls","309-555-0129","False","F","1","9.0000","98","69","True","False","Shipping and Receiving","7/26/2008 12:00:00 AM","","Current","System.Byte[]"
"75","138","604664374","","11","Sandra","Re?tegui Alayo","","False","Production Technician - WC30","7/26/2008 12:00:00 AM","6/5/1975 12:00:00 AM","adventure-works\sandra0","sandra0@adventure-works.com","896-555-0168","M","Sandra Re?tegui Alayo","896-555-0168","False","F","1","9.5000","37","38","True","False","Production","7/26/2008 12:00:00 AM","","Current","System.Byte[]"
"76","23","778552911","","11","Kok-Ho","Loh","T","False","Production Supervisor - WC50","7/27/2008 12:00:00 AM","11/27/1979 12:00:00 AM","adventure-works\kok-ho0","kok-ho0@adventure-works.com","999-555-0155","S","Kok-Ho Loh","999-555-0155","False","M","2","25.0000","78","59","True","False","Production","7/27/2008 12:00:00 AM","","Current","System.Byte[]"
"77","163","435234965","","11","Douglas","Hite","B","False","Production Technician - WC45","7/27/2008 12:00:00 AM","6/24/1985 12:00:00 AM","adventure-works\douglas0","douglas0@adventure-works.com","808-555-0172","M","Douglas Hite","808-555-0172","False","M","1","10.0000","80","60","True","False","Production","7/27/2008 12:00:00 AM","","Current","System.Byte[]"
"78","9","339712426","","11","James","Kramer","D","False","Production Technician - WC60","7/27/2008 12:00:00 AM","2/23/1984 12:00:00 AM","adventure-works\james0","james0@adventure-works.com","119-555-0117","M","James Kramer","119-555-0117","False","M","1","12.4500","39","39","True","False","Production","7/27/2008 12:00:00 AM","","Current","System.Byte[]"
"79","43","403414852","","11","Sean","Alexander","P","False","Quality Assurance Technician","7/28/2008 12:00:00 AM","10/5/1975 12:00:00 AM","adventure-works\sean0","sean0@adventure-works.com","420-555-0173","S","Sean Alexander","420-555-0173","False","M","2","10.5769","82","61","True","False","Quality Assurance","7/28/2008 12:00:00 AM","","Current","System.Byte[]"
"80","186","368920189","","11","Nitin","Mirchandani","S","False","Production Technician - WC20","7/28/2008 12:00:00 AM","7/1/1986 12:00:00 AM","adventure-works\nitin0","nitin0@adventure-works.com","143-555-0173","S","Nitin Mirchandani","143-555-0173","False","M","1","14.0000","21","30","True","False","Production","7/28/2008 12:00:00 AM","","Current","System.Byte[]"
