"CustomerID","CompanyName","ContactName","ContactTitle","Address","City","Region","PostalCode","Country","Phone","Fax","TimeStamp"
"CENTC","Aldoo Enterprises","Francisco Chang","Marketing Manager","Sierras de Granada 9993","M?xico D.F.","","05022","Mexico","(5) 555-3392","(5) 555-7293",""
"CHOPS","Aldoo Enterprises","Yang Wang","Owner","Hauptstr. 29","Bern","","3012","Switzerland","0452-076545","",""
"COMMI","Aldoo Enterprises","Pedro Afonso","Sales Associate","Av. dos Lus?adas, 23","Sao Paulo","SP","05432-043","Brazil","(11) 555-7647","",""
"CONSH","Aldoo Enterprises","Elizabeth Brown","Sales Representative","Berkeley Gardens 12  Brewery","London","","WX1 6LT","UK","(171) 555-2282","(171) 555-9199",""
"DRACD","Aldoo Enterprises","Sven Ottlieb","Order Administrator","Walserweg 21","Aachen","","52066","Germany","0241-039123","0241-059428",""
"DUMON","Aldoo Enterprises","Janine Labrune","Owner","67, rue des Cinquante Otages","Nantes","","44000","France","40.67.88.88","40.67.89.89",""
"EASTC","Aldoo Enterprises","Ann Devon","Sales Agent","35 King George","London","","WX3 6FW","UK","(171) 555-0297","(171) 555-3373",""
"ERNSH","Aldoo Enterprises","Roland Mendel","Sales Manager","Kirchgasse 6","Graz","","8010","Austria","7675-3425","7675-3426",""
"FAMIA","Aldoo Enterprises","Aria Cruz","Marketing Assistant","Rua Or?s, 92","Sao Paulo","SP","05442-030","Brazil","(11) 555-9857","",""
"FISSA","Aldoo Enterprises","Diego Roel","Accounting Manager","C/ Moralzarzal, 86","Madrid","","28034","Spain","(91) 555 94 44","(91) 555 55 93",""
"FOLIG","Aldoo Enterprises","Martine Ranc?","Assistant Sales Agent","184, chauss?e de Tournai","Lille","","59000","France","20.16.10.16","20.16.10.17",""
"FOLKO","Aldoo Enterprises","Maria Larsson","Owner","?kergatan 24","Br?cke","","S-844 67","Sweden","0695-34 67 21","",""
"FRANK","Aldoo Enterprises","Peter Franken","Marketing Manager","Berliner Platz 43","M?nchen","","80805","Germany","089-0877310","089-0877451",""
"FRANR","Aldoo Enterprises","Carine Schmitt","Marketing Manager","54, rue Royale","Nantes","","44000","France","40.32.21.21","40.32.21.20",""
"FRANS","Aldoo Enterprises","Paolo Accorti","Sales Representative","Via Monte Bianco 34","Torino","","10100","Italy","011-4988260","011-4988261",""
"FURIB","Aldoo Enterprises","Lino Rodriguez","Sales Manager","Jardim das rosas n. 32","Lisboa","","1675","Portugal","(1) 354-2534","(1) 354-2535",""
"GALED","Aldoo Enterprises","Eduardo Saavedra","Marketing Manager","Rambla de Catalu?a, 23","Barcelona","","08022","Spain","(93) 203 4560","(93) 203 4561",""
"GODOS","Aldoo Enterprises","Jos? Pedro Freyre","Sales Manager","C/ Romero, 33","Sevilla","","41101","Spain","(95) 555 82 82","",""
"GOURL","Aldoo Enterprises","Andr? Fonseca","Sales Associate","Av. Brasil, 442","Campinas","SP","04876-786","Brazil","(11) 555-9482","",""
"GREAL","Aldoo Enterprises","Howard Snyder","Marketing Manager","2732 Baker Blvd.","Eugene","OR","97403","USA","(503) 555-7555","",""
"GROSR","Aldoo Enterprises","Manuel Pereira","Owner","5? Ave. Los Palos Grandes","Caracas","DF","1081","Venezuela","(2) 283-2951","(2) 283-3397",""
"HANAR","Aldoo Enterprises","Mario Pontes","Accounting Manager","Rua do Pa?o, 67","Rio de Janeiro","RJ","05454-876","Brazil","(21) 555-0091","(21) 555-8765",""
"HILAA","Aldoo Enterprises","Carlos Hern?ndez","Sales Representative","Carrera 22 con Ave. Carlos Soublette #8-35","San Crist?bal","T?chira","5022","Venezuela","(5) 555-1340","(5) 555-1948",""
"HUNGC","Aldoo Enterprises","Yoshi Latimer","Sales Representative","City Center Plaza 516 Main St.","Elgin","OR","97827","USA","(503) 555-6874","(503) 555-2376",""
"HUNGO","Aldoo Enterprises","Patricia McKenna","Sales Associate","8 Johnstown Road","Cork","Co. Cork","","Ireland","2967 542","2967 3333",""
"ISLAT","Aldoo Enterprises","Helen Bennett","Marketing Manager","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK","(198) 555-8888","",""
"KOENE","Aldoo Enterprises","Philip Cramer","Sales Associate","Maubelstr. 90","Brandenburg","","14776","Germany","0555-09876","",""
"LACOR","Aldoo Enterprises","Daniel Tonini","Sales Representative","67, avenue de l'Europe","Versailles","","78000","France","30.59.84.10","30.59.85.11",""
"LAMAI","Aldoo Enterprises","Annette Roulet","Sales Manager","1 rue Alsace-Lorraine","Toulouse","","31000","France","61.77.61.10","61.77.61.11",""
"LAUGB","Aldoo Enterprises","Yoshi Tannamuri","Marketing Assistant","1900 Oak St.","Vancouver","BC","V3F 2K1","Canada","(604) 555-3392","(604) 555-7293",""
"LAZYK","Aldoo Enterprises","John Steel","Marketing Manager","12 Orchestra Terrace","Walla Walla","WA","99362","USA","(509) 555-7969","(509) 555-6221",""
"LEHMS","Aldoo Enterprises","Renate Messner","Sales Representative","Magazinweg 7","Frankfurt a.M.","","60528","Germany","069-0245984","069-0245874",""
"LETSS","Aldoo Enterprises","Jaime Yorres","Owner","87 Polk St. Suite 5","San Francisco","CA","94117","USA","(415) 555-5938","",""
"LILAS","Aldoo Enterprises","Carlos Gonz?lez","Accounting Manager","Carrera 52 con Ave. Bol?var #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","(9) 331-6954","(9) 331-7256",""
"LINOD","Aldoo Enterprises","Felipe Izquierdo","Owner","Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta","4980","Venezuela","(8) 34-56-12","(8) 34-93-93",""
"LONEP","Aldoo Enterprises","Fran Wilson","Sales Manager","89 Chiaroscuro Rd.","Portland","OR","97219","USA","(503) 555-9573","(503) 555-9646",""
"MAGAA","Aldoo Enterprises","Giovanni Rovelli","Marketing Manager","Via Ludovico il Moro 22","Bergamo","","24100","Italy","035-640230","035-640231",""
"MAISD","Aldoo Enterprises","Catherine Dewey","Sales Agent","Rue Joseph-Bens 532","Bruxelles","","B-1180","Belgium","(02) 201 24 67","(02) 201 24 68",""
"MEREP","Aldoo Enterprises","Jean Fresni?re","Marketing Assistant","43 rue St. Laurent","Montr?al","Qu?bec","H1J 1C3","Canada","(514) 555-8054","(514) 555-8055",""
"MORGK","Aldoo Enterprises","Alexander Feuer","Marketing Assistant","Heerstr. 22","Leipzig","","04179","Germany","0342-023176","",""
"NORTS","Aldoo Enterprises","Simon Crowther","Sales Associate","South House 300 Queensbridge","London","","SW7 1RZ","UK","(171) 555-7733","(171) 555-2530",""
"OCEAN","Aldoo Enterprises","Yvonne Moncada","Sales Agent","Ing. Gustavo Moncada 8585 Piso 20-A","Buenos Aires","","1010","Argentina","(1) 135-5333","(1) 135-5535",""
"OLDWO","Aldoo Enterprises","Rene Phillips","Sales Representative","2743 Bering St.","Anchorage","AK","99508","USA","(907) 555-7584","(907) 555-2880",""
"OTTIK","Aldoo Enterprises","Henriette Pfalzheim","Owner","Mehrheimerstr. 369","K?ln","","50739","Germany","0221-0644327","0221-0765721",""
"PARIS","Aldoo Enterprises","Marie Bertrand","Owner","265, boulevard Charonne","Paris","","75012","France","(1) 42.34.22.66","(1) 42.34.22.77",""
"PERIC","Aldoo Enterprises","Guillermo Fern?ndez","Sales Representative","Calle Dr. Jorge Cash 321","M?xico D.F.","","05033","Mexico","(5) 552-3745","(5) 545-3745",""
"PICCO","Aldoo Enterprises","Georg Pipps","Sales Manager","Geislweg 14","Salzburg","","5020","Austria","6562-9722","6562-9723",""
"PRINI","Aldoo Enterprises","Isabel de Castro","Sales Representative","Estrada da sa?de n. 58","Lisboa","","1756","Portugal","(1) 356-5634","",""
"QUEDE","Aldoo Enterprises","Bernardo Batista","Accounting Manager","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil","(21) 555-4252","(21) 555-4545",""
"QUEEN","Aldoo Enterprises","L?cia Carvalho","Marketing Assistant","Alameda dos Can?rios, 891","Sao Paulo","SP","05487-020","Brazil","(11) 555-1189","",""
"QUICK","Aldoo Enterprises","Horst Kloss","Accounting Manager","Taucherstra?e 10","Cunewalde","","01307","Germany","0372-035188","",""
"RANCH","Aldoo Enterprises","Sergio Guti?rrez","Sales Representative","Av. del Libertador 900","Buenos Aires","","1010","Argentina","(1) 123-5555","(1) 123-5556",""
"RATTC","Aldoo Enterprises","Paula Wilson","Assistant Sales Representative","2817 Milton Dr.","Albuquerque","NM","87110","USA","(505) 555-5939","(505) 555-3620",""
"REGGC","Aldoo Enterprises","Maurizio Moroni","Sales Associate","Strada Provinciale 124","Reggio Emilia","","42100","Italy","0522-556721","0522-556722",""
"RICAR","Aldoo Enterprises","Janete Limeira","Assistant Sales Agent","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil","(21) 555-3412","",""
"RICSU","Aldoo Enterprises","Michael Holz","Sales Manager","Grenzacherweg 237","Gen?ve","","1203","Switzerland","0897-034214","",""
"ROMEY","Aldoo Enterprises","Alejandra Camino","Accounting Manager","Gran V?a, 1","Madrid","","28001","Spain","(91) 745 6200","(91) 745 6210",""
"SANTG","Aldoo Enterprises","Jonas Bergulfsen","Owner","Erling Skakkes gate 78","Stavern","","4110","Norway","07-98 92 35","07-98 92 47",""
"SAVEA","Aldoo Enterprises","Jose Pavarotti","Sales Representative","187 Suffolk Ln.","Boise","ID","83720","USA","(208) 555-8097","",""
"SEVES","Aldoo Enterprises","Hari Kumar","Sales Manager","90 Wadhurst Rd.","London","","OX15 4NB","UK","(171) 555-1717","(171) 555-5646",""
"SIMOB","Aldoo Enterprises","Jytte Petersen","Owner","Vinb?ltet 34","Kobenhavn","","1734","Denmark","31 12 34 56","31 13 35 57",""
"SPECD","Aldoo Enterprises","Dominique Perrier","Marketing Manager","25, rue Lauriston","Paris","","75016","France","(1) 47.55.60.10","(1) 47.55.60.20",""
"SPLIR","Aldoo Enterprises","Art Braunschweiger","Sales Manager","P.O. Box 555","Lander","WY","82520","USA","(307) 555-4680","(307) 555-6525",""
"SUPRD","Aldoo Enterprises","Pascale Cartrain","Accounting Manager","Boulevard Tirou, 255","Charleroi","","B-6000","Belgium","(071) 23 67 22 20","(071) 23 67 22 21",""
"THEBI","Aldoo Enterprises","Liz Nixon","Marketing Manager","89 Jefferson Way Suite 2","Portland","OR","97201","USA","(503) 555-3612","",""
"THECR","Aldoo Enterprises","Liu Wong","Marketing Assistant","55 Grizzly Peak Rd.","Butte","MT","59801","USA","(406) 555-5834","(406) 555-8083",""
"TOMSP","Aldoo Enterprises","Karin Josephs","Marketing Manager","Luisenstr. 48","M?nster","","44087","Germany","0251-031259","0251-035695",""
"TORTU","Aldoo Enterprises","Miguel Angel Paolino","Owner","Avda. Azteca 123","M?xico D.F.","","05033","Mexico","(5) 555-2933","",""
"TRADH","Aldoo Enterprises","Anabela Domingues","Sales Representative","Av. In?s de Castro, 414","Sao Paulo","SP","05634-030","Brazil","(11) 555-2167","(11) 555-2168",""
"TRAIH","Aldoo Enterprises","Helvetius Nagy","Sales Associate","722 DaVinci Blvd.","Kirkland","WA","98034","USA","(206) 555-8257","(206) 555-2174",""
"VAFFE","Aldoo Enterprises","Palle Ibsen","Sales Manager","Smagsloget 45","?rhus","","8200","Denmark","86 21 32 43","86 22 33 44",""
"VICTE","Aldoo Enterprises","Mary Saveley","Sales Agent","2, rue du Commerce","Lyon","","69004","France","78.32.54.86","78.32.54.87",""
"VINET","Aldoo Enterprises","Paul Henriot","Accounting Manager","59 rue de l'Abbaye","Reims","","51100","France","26.47.15.10","26.47.15.11",""
"WANDK","Aldoo Enterprises","Rita M?ller","Sales Representative","Adenauerallee 900","Stuttgart","","70563","Germany","0711-020361","0711-035428",""
"WARTH","Aldoo Enterprises","Pirkko Koskitalo","Accounting Manager","Torikatu 38","Oulu","","90110","Finland","981-443655","981-443655",""
"WELLI","Aldoo Enterprises","Paula Parente","Sales Manager","Rua do Mercado, 12","Resende","SP","08737-363","Brazil","(14) 555-8122","",""
"WHITC","Aldoo Enterprises","Karl Jablonski","Owner","305 - 14th Ave. S. Suite 3B","Seattle","WA","98128","USA","(206) 555-4112","(206) 555-4115",""
"WILMK","Aldoo Enterprises","Matti Karttunen","Owner/Marketing Assistant","Keskuskatu 45","Helsinki","","21240","Finland","90-224 8858","90-224 8858",""
"WOLZA","Aldoo Enterprises","Zbyszek Piestrzeniewicz","Owner","ul. Filtrowa 68","Warszawa","","01-012","Poland","(26) 642-7012","(26) 642-7012",""
